country;currency;newCol
afghanistan;afghani;afghani
albania;lek;lek
algeria;dinar;algerian dinar
andorra;euro;euro
angola;new kwanza;new kwanza
antigua barbuda;east caribbean dollar;
argentina;argentine peso;argentine peso
armenia;armenian dram;armenian dram
australia;aud;australian dollar
austria;euro;euro
azerbaijan;azerbaijanian manat;azerbaijanian manat
bahamas;dollar;bahamian dollar
bahrain;bhd;bahraini dinar
bangladesh;taka;taka
barbados;dollar;barbados dollar
belarus;belarussian ruble;belarussian ruble
belgium;euro;euro
belize;dollar;belize dollar
benin;cfa franc bceao;cfa franc bceao
bhutan;rupee;ngultrum
bolivia;boliviano;boliviano
bosnia herzegovina;mark;
botswana;pula;pula
brazil;real;brazilian real
brunei;dollar;dollar
bulgaria;lev;lev
burkina faso;cfa franc bceao;cfa franc bceao
burma;mmk;
burundi;burundi franc;burundi franc
cambodia;usd;riel
cameroon;franc;franc
canada;cad;dollar
cape verde;escudo;cape verde escudo
central african republic;cfa franc beac;cfa franc beac
chad;franc;franc
chile;peso;peso
china;yuan;yuan
colombia;peso;colombia
comoros;kmf;comoro franc
costa rica;colon;colon
croatia;kuna;kuna
cuba;cuban peso;peso
cyprus;eur;cyprus
czech republic;czk;czech republic
djibouti;djibouti franc;franc
dominica;east caribbean dollar;east caribbean dollar
dominican republic;peso;dominican republic
east timor;usd;us dollar
ecuador;sucre;dollar
egypt;egyptian pound;pound
el salvador;el salvador colon;colon
equatorial guinea;cfa franc beac;cfa franc beac
eritrea;nakfa;nakfa
estonia;eek;estonia
ethiopia;birr;birr
fiji;dollar;dollar
finland;euro;euro
france;eur;euro
gabon;franc;franc
gambia;dalasi;dalasi
georgia;lari;lari
germany;eur;euro
ghana;cedi;cedi
greece;euro;euro
grenada;east caribbean dollar;east caribbean dollar
guatemala;quetzal;quetzal
guinea;franc;franc
guinea bissau;franc;
guyana;dollar;dollar
haiti;gourde;gourde
honduras;lempira;lempira
hungary;huf;forint
iceland;krona;krona
india;rupee;rupee
indonesia;rupiah;rupiah
iran;iranian rial;irr
iraq;dinar;dinar
israel;usd;shekel
italy;eur;euro
ivory coast;xof;franc
jamaica;dollar;dollar
japan;yen;yen
jordan;dinar;dinar
kazakhstan;tenge;tenge
kenya;shilling;shilling
kiribati;australian dollar;australian dollar
kosovo;eur;
kuwait;dinar;dinar
kyrgyzstan;som;som
laos;lak;
latvia;lvl;latvia
lebanon;lebanese pound;pound
lesotho;lsl;lsl
liberia;liberian dollar;liberian dollar
libya;libyan dinar;
liechtenstein;chf;swiss franc
lithuania;ltl;lithuania
luxembourg;eur;euro
macedonia;denar;mkd
madagascar;franc;mga
malawi;kwacha;kwacha
malaysia;ringgit;ringgit
maldives;rufiyaa;rufiyaa
mali;cfa franc bceao;cfa franc bceao
malta;eur;euro
marshall islands;usd;us dollar
mauritania;ouguiya;ouguiya
mauritius;rupee;rupee
mexico;mxn;peso
moldova;leu;mdl
monaco;euro;french franc
mongolia;tugrik;tugrik
montenegro;euro;euro
morocco;dirham;dirham
mozambique;metical;mzn
namibia;nad;nad
nauru;australian dollar;australian dollar
nepal;nepalese rupee;rupee
netherlands;euro;euro
new zealand;nzd;dollar
nicaragua;cordoba oro;cordoba
niger;cfa franc bceao;franc
nigeria;naira;ngn
niue;new zealand dollar;new zealand dollar
norway;nok;krone
pakistan;rupee;rupee
palau;usd;us dollar
palestine;500 nis 100 us $;nis
panama;pab;pab
papua new guinea;kina;kina
paraguay;guarani;guarani
peru;pen;inti
philippines;peso;peso
poland;pln;zloty
portugal;eur;euro
qatar;rial;riyal
romania;leu;leu
russia;25 63;rub
rwanda;rwandan franc;rwf
saint kitts nevis;east caribbean dollar;
saint lucia;east caribbean dollar;east caribbean dollar
saint vincent grenadines;east caribbean dollar;
samoa;tala;wst
san marino;eur;italian lira
saudi arabia;riyal;riyal
senegal;franc;franc
serbia;59 66;dinar
seychelles;seychelles rupee;rupee
sierra leone;leone;leone
singapore;sgd;dollar
slovakia;skk eur skk eur;koruna
slovenia;eur;euro
solomon islands;sbd;dollar
somalia;shilling;shilling
south africa;rand;rand
south korea;won;won
spain;euro;euro
sri lanka;sri lanka rupee;rupee
sudan;sudanese dinar;dinar
suriname;guilder;guilder
swaziland;lilangeni;szl
sweden;sek;krona
switzerland;chf;franc
syria;syp;pound
taiwan;dollar;dollar
tajikistan;somoni;somoni
tanzania;shilling;shilling
thailand;baht;baht
togo;cfa franc bceao;franc
tonga;pa anga;top
trinidad tobago;ttd;
tunisia;dinar;dinar
turkey;turkish lira;lira
turkmenistan;manat;manat
tuvalu;australian dollar;australian dollar
uganda;uganda shilling;shilling
ukraine;hryvnia;uah
united arab emirates;dirham;united arab emirates
united kingdom;gbp;pound
united states;dollar;dollar
uruguay;peso;peso
uzbekistan;uzbekistan sum;uzs
vanuatu;vatu;vuv
vatican city;euro;euro (eur)
venezuela;bolivar;bolivar
vietnam;dong;dong
yemen;yemeni rial;yer
zambia;kwacha;kwacha
zimbabwe;zimbabwe dollar;dollar
